CASTE,cnt
28 JAT,458
RAJPUT,28
48 FAKIR,18
Jain,16
7 CHHIPA (CHHIPI),14
45 LODHI (LODHA),14
14 VALMIKI,13
27 KHARDIYA (SIRVI),11
58 Jat (except in Bharatpur and Dhaulpur Districts),11
40 BAZIGAR,11
RAJPOOT,10
12 DAROGA,8
50 MER(MEHRAT-KATHAT),7
14 DESHWALI,6
AGRAWAL,5
34 KANDERA,4
14 MEHTAR,3
MAHAJAN,3
11 DANGI,3
PATHAN,3
30 JINGAR,3
राजपूत ,3
40 KOTWAL/KOTTWAL,3
5 BERWA,3
5 BAIRWA,2
49 Sunar,2
VAISHYA,2
23 DASNAM GAUSWAMI,2
KAYASTH,2
BRAHAMAN,2
MUSLIM,2
AGARWAL,1
KAYSTH,1
40 MADARI,1
42 ARAI,1
41 MOYLA,1
15 Gayri,1
बाजीगर,1
PERIWAL,1
SINDHI PUNJABI,1
SHARAMA,1
BRAHMAN,1
29 SIDH,1
मीना,1
MUSHLIM,1
JANGALIYA,1
अग्रवाल,1
JAIN,1
महाजन,1
35 KHANGAR,1
19 Gujar,1
PARASHAR,1
17 DHOBI(MUSLIM),1
9 MINA,1
BHARMN,1
ब्राहम्ण,1
13 DARZI,1
17 MOCHI,1
42 MAHYAVANSHI,1
CHODHRAY,1
JAT SIKH,1
999 RAMGADIYA,1
NISHKALANK,1
34 PINJARA,1
SINDHI,1
BHRAMAN,1
11 BAWARIA,1
8 Chhippa (Chhipi),1
CHOUBISA,1
RATHI,1
GURJAR,1
14 BALMIKI,1
